City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
408,Bubaque,GW,82.35,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
409,Gevrai,IN,79.86,scattered clouds,19.2667,75.75,Hotel Aadarniy and Biryani House
410,Dataganj,IN,74.53,clear sky,28.0333,79.4,Home
411,Soc Trang,VN,87.6,broken clouds,9.6033,105.98,Phu Quy Hotel
420,Conde,BR,74.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
422,Sola,VU,77.67,moderate rain,-13.8833,167.55,Leumerus Bungalows
423,San Felipe,VE,71.91,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
424,Tabuk,PH,87.53,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
425,Boa Vista,BR,76.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
426,Phulabani,IN,77.95,broken clouds,20.4667,84.2333,Hotel Royal Plaza
427,Eyl,SO,81.25,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
431,Nizwa,OM,78.69,clear sky,22.9333,57.5333,Orient Apartments
433,Hervey Bay,AU,74.05,few clouds,-25.2986,152.8535,Shelly Bay Resort
436,Dubbo,AU,84.33,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
439,Banda Aceh,ID,78.3,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
444,Caravelas,BR,73.26,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
445,Kushima,JP,71.71,broken clouds,31.4583,131.2333,Hanaoka
450,Riyadh,SA,73.54,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
452,Vaitape,PF,77.85,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
457,Bartica,GY,75.52,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
458,Vila Velha,BR,75.15,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
462,Tecolutla,MX,75.45,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
463,Iralaya,HN,79.48,broken clouds,15.0,-83.2333,Iglesia morava renovada
465,Amahai,ID,84.94,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
471,Palu,ID,87.82,broken clouds,-0.8917,119.8707,Hotel Santika Palu
472,Axim,GH,76.59,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
475,Lamu,KE,82.62,scattered clouds,-2.2717,40.902,Lamu House
478,Gorontalo,ID,87.33,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
482,Farafangana,MG,77.49,clear sky,-22.8167,47.8333,Miarina
483,Moyale,KE,73.18,broken clouds,3.5167,39.0584,La Tahzan Guest House
485,Pasni,PK,81.36,clear sky,25.2631,63.471,Kashmiri Hotal
486,Toumodi,CI,71.01,overcast clouds,6.5613,-5.0158,Hotel Akanza
488,Ternate,ID,85.26,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
498,Les Cayes,HT,76.69,broken clouds,18.2,-73.75,Villa Orphee
500,Liwale,TZ,72.57,broken clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
504,Gushikawa,JP,78.03,light intensity shower rain,26.3544,127.8686,Kirari Guest House
506,Panama City,PA,78.17,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
508,Arlit,NE,70.56,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
