City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Current Description
116,Sobolevo,100,RU,2022-11-12 05:13:35,93,54.4299,31.8996,47.03,14.5,overcast clouds
117,Honiara,100,SB,2022-11-12 05:13:36,91,-9.4333,159.95,76.82,2.3,overcast clouds
118,Saskylakh,95,RU,2022-11-12 05:13:36,100,71.9167,114.0833,-26.68,1.9,overcast clouds
119,Puerto Escondido,15,MX,2022-11-12 05:13:36,83,15.85,-97.0667,78.62,3.04,few clouds
120,Shubarkuduk,38,KZ,2022-11-12 05:13:37,77,49.1447,56.4872,34.41,11.18,scattered clouds
121,Saint-Philippe,4,RE,2022-11-12 05:13:37,63,-21.3585,55.7679,80.19,6.69,clear sky
122,Shimoda,29,JP,2022-11-12 05:13:37,70,34.6667,138.95,68.11,6.67,scattered clouds
123,Gornopravdinsk,100,RU,2022-11-12 05:09:46,91,60.05,69.9,31.14,7.49,overcast clouds
124,Duncanville,0,US,2022-11-12 05:13:37,66,32.6518,-96.9083,42.26,11.5,clear sky
125,Pangnirtung,95,CA,2022-11-12 05:13:38,91,66.1451,-65.7125,-5.58,4.81,overcast clouds
126,Bertoua,82,CM,2022-11-12 05:13:38,98,4.5833,13.6833,65.26,1.16,broken clouds
127,Souillac,20,MU,2022-11-12 05:13:38,61,-20.5167,57.5167,77.38,5.75,few clouds
128,San Miguel,60,SV,2022-11-12 05:13:38,98,13.4833,-88.1833,71.46,1.5,broken clouds
129,Tilichiki,100,RU,2022-11-12 05:13:39,87,60.4667,166.1,15.73,8.05,overcast clouds
130,Zhanaozen,15,KZ,2022-11-12 05:13:39,59,43.3,52.8,39.25,9.78,few clouds
131,Copiapo,77,CL,2022-11-12 05:13:39,72,-27.3667,-70.3333,53.29,0.92,broken clouds
132,Nagaur,0,IN,2022-11-12 05:13:39,30,27.2,73.7333,79.32,2.1,clear sky
133,Kaeo,37,NZ,2022-11-12 05:13:40,81,-35.1,173.7833,70.32,10.38,scattered clouds
134,Hobart,20,AU,2022-11-12 05:09:18,56,-42.8794,147.3294,62.28,12.66,few clouds
135,Castro,79,BR,2022-11-12 05:13:40,95,-24.7911,-50.0119,57.96,6.8,broken clouds
136,The Valley,0,AI,2022-11-12 05:13:40,75,18.217,-63.0578,81.1,14.25,clear sky
137,Marica,100,BR,2022-11-12 05:13:40,95,-22.9194,-42.8186,73.31,2.71,light rain
138,Chuy,10,UY,2022-11-12 05:13:41,97,-33.6971,-53.4616,60.03,6.89,clear sky
139,Zabol,3,AF,2022-11-12 05:13:41,54,32.25,67.25,50.34,7.92,clear sky
140,Yar-Sale,93,RU,2022-11-12 05:14:41,98,66.8333,70.8333,-1.46,9.35,overcast clouds
141,Mogadishu,29,SO,2022-11-12 05:10:51,76,2.0371,45.3438,79.95,9.37,scattered clouds
142,Geraldton,1,AU,2022-11-12 05:14:41,32,-28.7667,114.6,70.21,20.71,clear sky
143,Sindhnur,74,IN,2022-11-12 05:14:42,49,15.7833,76.7667,81.46,12.71,broken clouds
144,Gwanda,100,ZW,2022-11-12 05:14:42,87,-20.9333,29.0,67.37,7.81,light rain
145,Erzin,0,TR,2022-11-12 05:14:42,52,36.9559,36.2,61.27,5.53,clear sky
146,Kamina,100,CD,2022-11-12 05:14:42,98,-8.7386,24.9906,63.55,4.52,overcast clouds
147,Denpasar,40,ID,2022-11-12 05:13:52,74,-8.65,115.2167,87.46,6.91,scattered clouds
148,Moose Factory,100,CA,2022-11-12 05:14:43,92,51.2585,-80.6094,26.31,15.93,snow
149,Gboko,82,NG,2022-11-12 05:14:43,84,7.3179,8.9951,74.08,4.25,broken clouds
150,Iwanai,95,JP,2022-11-12 05:14:43,63,42.9744,140.5089,57.18,8.28,overcast clouds
151,Guerrero Negro,79,MX,2022-11-12 05:14:43,58,27.9769,-114.0611,63.91,8.72,broken clouds
152,Malakal,100,SS,2022-11-12 05:14:44,29,9.5334,31.6605,74.07,4.07,overcast clouds
153,Talaya,52,RU,2022-11-12 05:14:44,100,61.3833,152.75,-17.45,1.23,broken clouds
154,Arcata,100,US,2022-11-12 05:14:44,98,40.8665,-124.0828,46.18,0.0,overcast clouds
155,Tripoli,7,LY,2022-11-12 05:14:44,69,32.8752,13.1875,66.61,3.67,clear sky
156,Hami,3,CN,2022-11-12 05:14:45,29,42.8,93.45,43.47,3.78,clear sky
157,Corinth,72,GR,2022-11-12 05:14:45,83,37.9407,22.9573,60.89,6.31,broken clouds
158,Lebu,83,CL,2022-11-12 05:14:45,90,-37.6167,-73.65,52.0,11.39,broken clouds
159,Flinders,35,AU,2022-11-12 05:14:45,71,-34.5833,150.8552,77.18,3.0,light rain
160,Campo Do Brito,39,BR,2022-11-12 05:14:46,98,-10.7333,-37.4933,70.34,2.3,scattered clouds
161,Ponta Delgada,40,PT,2022-11-12 05:14:46,67,37.7333,-25.6667,63.32,13.8,scattered clouds
162,Huarmey,35,PE,2022-11-12 05:14:46,87,-10.0681,-78.1522,63.23,9.57,scattered clouds
163,Cabo San Lucas,77,MX,2022-11-12 05:10:24,75,22.8909,-109.9124,74.52,1.99,broken clouds
164,Asau,9,RO,2022-11-12 05:14:46,80,46.4333,26.4,31.12,3.78,clear sky
165,Manado,40,ID,2022-11-12 05:14:47,89,1.487,124.8455,79.57,1.14,light rain
166,Ponta Do Sol,25,PT,2022-11-12 05:14:47,80,32.6667,-17.1,67.71,3.33,scattered clouds
167,Butaritari,96,KI,2022-11-12 05:14:47,76,3.0707,172.7902,81.66,14.47,overcast clouds
168,Moerai,100,PF,2022-11-12 05:14:47,67,-22.4333,-151.3333,69.31,15.75,overcast clouds
169,Bredasdorp,84,ZA,2022-11-12 05:14:48,68,-34.5322,20.0403,64.54,8.28,broken clouds
170,Camacha,20,PT,2022-11-12 05:14:48,77,33.0833,-16.3333,63.82,4.61,few clouds
171,Atbasar,100,KZ,2022-11-12 05:14:48,97,51.8,68.3333,33.58,19.91,overcast clouds
172,Touros,32,BR,2022-11-12 05:14:48,77,-5.1989,-35.4608,77.49,10.45,scattered clouds
173,Oranjestad,84,AW,2022-11-12 05:11:45,88,12.524,-70.027,80.91,1.01,broken clouds
174,Laguna,0,US,2022-11-12 05:14:49,87,38.421,-121.4238,50.18,0.0,clear sky
175,Marabba,19,SD,2022-11-12 05:14:49,23,12.35,32.1833,74.79,12.48,few clouds
176,Qui Nhon,100,VN,2022-11-12 05:14:49,76,13.7667,109.2333,81.3,12.91,overcast clouds
177,Hammerfest,75,NO,2022-11-12 05:10:59,80,70.6634,23.6821,32.45,3.44,broken clouds
178,Torbay,100,CA,2022-11-12 05:14:49,88,47.6666,-52.7314,37.76,4.61,overcast clouds
179,Te Anau,100,NZ,2022-11-12 05:14:50,44,-45.4167,167.7167,66.83,3.65,overcast clouds
180,Port Blair,81,IN,2022-11-12 05:14:50,67,11.6667,92.75,84.11,13.56,broken clouds
181,Gunnedah,100,AU,2022-11-12 05:14:50,40,-30.9833,150.25,84.31,7.36,overcast clouds
182,Westport,75,US,2022-11-12 05:14:51,88,41.1415,-73.3579,70.3,17.27,broken clouds
183,Adrar,23,MR,2022-11-12 05:14:51,16,20.5022,-10.0711,67.8,10.29,few clouds
184,Yellowknife,100,CA,2022-11-12 05:14:51,89,62.456,-114.3525,24.84,10.85,overcast clouds
185,Barrow,100,US,2022-11-12 05:15:51,85,71.2906,-156.7887,10.42,9.22,overcast clouds
186,Manavalakurichi,93,IN,2022-11-12 05:15:52,72,8.1333,77.3,82.76,9.19,overcast clouds
187,Alofi,34,NU,2022-11-12 05:15:52,88,-19.0595,-169.9187,76.89,6.91,scattered clouds
188,Odienne,18,CI,2022-11-12 05:15:52,43,9.51,-7.5692,68.54,2.48,few clouds
189,Cockburn Town,4,TC,2022-11-12 05:15:53,78,21.4612,-71.1419,81.46,16.82,light rain
190,Pangkalanbuun,100,ID,2022-11-12 05:15:54,55,-2.6833,111.6167,89.76,2.15,overcast clouds
191,Klaksvik,95,FO,2022-11-12 05:15:54,77,62.2266,-6.589,49.12,22.55,overcast clouds
192,Iranshahr,0,IR,2022-11-12 05:15:54,22,27.2025,60.6848,79.14,4.61,clear sky
193,Sitka,75,US,2022-11-12 05:15:54,81,57.0531,-135.33,40.89,8.05,broken clouds
194,Solton,100,RU,2022-11-12 05:15:55,81,52.8429,86.4787,31.93,5.1,light snow
195,Kuching,20,MY,2022-11-12 05:15:55,79,1.55,110.3333,84.42,4.61,few clouds
196,Mandan,20,US,2022-11-12 05:12:16,92,46.8267,-100.8896,1.38,6.91,few clouds
197,New Norfolk,59,AU,2022-11-12 05:15:55,43,-42.7826,147.0587,61.92,1.99,broken clouds
198,Bethel,100,US,2022-11-12 05:15:56,85,41.3712,-73.414,69.89,13.8,overcast clouds
199,Itarema,64,BR,2022-11-12 05:15:56,78,-2.9248,-39.9167,78.15,13.15,broken clouds
200,Beisfjord,100,NO,2022-11-12 05:15:56,99,68.3751,17.5988,41.05,8.48,light rain
201,Arraial Do Cabo,100,BR,2022-11-12 05:15:56,95,-22.9661,-42.0278,72.64,13.85,light rain
202,Saint-Pierre,0,RE,2022-11-12 05:15:57,61,-21.3393,55.4781,81.91,12.66,clear sky
203,Namatanai,96,PG,2022-11-12 05:15:57,77,-3.6667,152.4333,82.11,8.25,light rain
204,Tomatlan,1,MX,2022-11-12 05:15:57,95,19.9333,-105.25,68.27,3.06,clear sky
205,Victoria,54,HK,2022-11-12 05:13:58,76,22.2855,114.1577,84.18,4.0,broken clouds
206,Ulladulla,59,AU,2022-11-12 05:15:57,79,-35.35,150.4667,67.59,7.45,heavy intensity rain
207,Half Moon Bay,0,US,2022-11-12 05:15:58,74,37.4636,-122.4286,52.99,8.05,clear sky
208,Luderitz,18,NA,2022-11-12 05:15:58,79,-26.6481,15.1594,57.87,5.14,few clouds
209,Lagos,46,NG,2022-11-12 05:13:58,94,6.5833,3.75,75.92,1.52,scattered clouds
210,Ontario,20,US,2022-11-12 05:15:59,44,34.0633,-117.6509,57.65,4.61,few clouds
211,Plettenberg Bay,13,ZA,2022-11-12 05:15:59,85,-34.0527,23.3716,65.86,6.62,few clouds
212,Banff,96,CA,2022-11-12 05:15:40,79,51.1762,-115.5698,18.63,5.75,overcast clouds
213,Karmala,42,IN,2022-11-12 05:15:59,37,18.4167,75.2,81.0,15.82,scattered clouds
214,Altamont,100,US,2022-11-12 05:14:37,86,42.2068,-121.7372,33.64,1.99,overcast clouds
215,Saldanha,62,ZA,2022-11-12 05:12:17,78,-33.0117,17.9442,63.21,14.03,broken clouds
216,Cherskiy,100,RU,2022-11-12 05:15:59,98,68.75,161.3,-19.35,2.75,overcast clouds
217,Nikolskoye,100,RU,2022-11-12 05:16:00,90,59.7035,30.7861,53.49,11.99,overcast clouds
218,Kitimat,100,CA,2022-11-12 05:16:00,97,54.0524,-128.6534,32.38,2.39,overcast clouds
219,Saint-Augustin,100,CA,2022-11-12 05:16:00,41,51.226,-58.6502,28.49,6.53,overcast clouds
220,Mount Isa,100,AU,2022-11-12 05:16:00,61,-20.7333,139.5,82.17,10.36,overcast clouds
221,Lucea,91,JM,2022-11-12 05:16:01,80,18.451,-78.1736,76.86,2.98,light rain
222,Olivehurst,0,US,2022-11-12 05:16:01,88,39.0955,-121.5522,51.33,5.75,mist
223,Betsiamites,100,CA,2022-11-12 05:16:01,95,48.9413,-68.646,39.6,21.36,overcast clouds
224,Marystown,100,CA,2022-11-12 05:16:01,100,47.1666,-55.1483,42.85,9.98,overcast clouds
225,Haimen,35,CN,2022-11-12 05:16:02,74,23.1935,116.6142,85.89,8.32,scattered clouds
226,Airai,88,TL,2022-11-12 05:16:02,70,-8.9266,125.4092,71.8,1.39,overcast clouds
227,Carmo Do Paranaiba,67,BR,2022-11-12 05:16:03,92,-19.0008,-46.3161,63.75,3.94,broken clouds
228,Hasaki,14,JP,2022-11-12 05:17:03,61,35.7333,140.8333,75.29,5.14,few clouds
229,Esperance,80,AU,2022-11-12 05:17:03,71,-33.8667,121.9,62.44,18.39,broken clouds
230,Camana,53,PE,2022-11-12 05:17:04,85,-16.6228,-72.7111,65.25,7.38,broken clouds
231,Lavrentiya,5,RU,2022-11-12 05:17:04,79,65.5833,-171.0,16.75,10.07,clear sky
232,Eirunepe,100,BR,2022-11-12 05:17:05,89,-6.6603,-69.8736,75.15,3.69,overcast clouds
233,Itigi,63,TZ,2022-11-12 05:17:05,58,-5.7,34.4833,71.1,9.48,broken clouds
234,Isaka,94,TZ,2022-11-12 05:17:06,74,-3.9,32.9333,69.42,5.26,light rain
235,Cranbrook,75,CA,2022-11-12 05:15:56,73,49.4999,-115.7688,21.04,4.61,broken clouds
236,Grand Gaube,35,MU,2022-11-12 05:17:07,56,-20.0064,57.6608,79.38,8.99,scattered clouds
237,Constitucion,98,CL,2022-11-12 05:17:07,94,-35.3333,-72.4167,54.81,11.21,overcast clouds
238,Januaria,89,BR,2022-11-12 05:17:08,96,-15.4833,-44.3667,68.49,1.72,light rain
239,Homer,40,US,2022-11-12 05:17:08,78,59.6425,-151.5483,43.03,5.01,scattered clouds
240,Ancud,100,CL,2022-11-12 05:17:08,97,-41.8697,-73.8203,51.26,4.74,overcast clouds
241,Eureka,79,US,2022-11-12 05:13:21,98,40.8021,-124.1637,46.18,3.47,broken clouds
242,Vung Tau,98,VN,2022-11-12 05:17:09,67,10.346,107.0843,83.73,4.38,overcast clouds
243,La Palma,0,US,2022-11-12 05:17:09,49,33.8464,-118.0467,61.93,4.61,clear sky
244,Launceston,75,AU,2022-11-12 05:17:09,56,-41.45,147.1667,66.61,14.97,broken clouds
245,Iqaluit,100,CA,2022-11-12 05:17:10,84,63.7506,-68.5145,6.53,2.3,light snow
